season,metal,count,mean,median,max
Весна,Cd,252,0.0012288492063492063,0.001,0.01
Зима,Cd,236,0.0023091101694915255,0.001,0.03
Лето,Cd,227,0.0013833039647577093,0.001,0.0272
Осень,Cd,206,0.002147087378640777,0.001,0.0387
Весна,Pb,252,0.05198330687830687,0.023,0.397
Зима,Pb,236,0.08422953389830509,0.036,1.053
Лето,Pb,227,0.057325389133627024,0.03,0.561
Осень,Pb,206,0.09129126213592234,0.036,1.9991
Весна,As,252,0.0032817460317460315,0.0,0.102
Зима,As,236,0.0031584745762711862,0.0,0.072
Лето,As,227,0.002288986784140969,0.0,0.072
Осень,As,206,0.003813106796116505,0.0,0.1796
Весна,Cr,252,0.012145198412698411,0.003,0.34
Зима,Cr,236,0.012991101694915254,0.004,0.1366666666666667
Лето,Cr,227,0.012403083704845814,0.002,0.6031
Осень,Cr,206,0.015050485436893205,0.0039,0.4853
Весна,Cu,252,0.13114063492063494,0.06,0.938
Зима,Cu,236,0.12157838983050848,0.064,0.9684
Лето,Cu,227,0.16067533040088106,0.079,0.927
Осень,Cu,206,0.16825000000485435,0.08499999999999999,1.6601
Весна,Ni,252,0.00047354568386243377,1e-09,0.018
Зима,Ni,236,0.0006709046751412428,1e-09,0.02
Лето,Ni,227,4.845894273127753e-05,1e-09,0.007
Осень,Ni,206,0.0003106803786407767,1e-09,0.012
