year,metal,count,mean,median,max
2006,Cd,49,0.002765918367346939,0.0008,0.0251
2007,Cd,52,0.006663461538461539,0.0018,0.0387
2008,Cd,52,0.001503846153846154,0.001,0.0076
2009,Cd,68,0.0015470588235294118,0.0009,0.01
2010,Cd,72,0.001340277777777778,0.001,0.004
2011,Cd,72,0.0014402777777777777,0.001,0.006
2012,Cd,71,0.001892957746478873,0.001,0.017
2013,Cd,60,0.001615,0.001,0.007
2014,Cd,47,0.0034170212765957447,0.002,0.03
2015,Cd,72,0.0012638888888888888,0.001,0.008
2016,Cd,72,0.0010388888888888889,0.001,0.006
2017,Cd,72,0.0010833333333333333,0.001,0.005
2018,Cd,72,0.0006888888888888888,0.001,0.003
2019,Cd,54,0.0006481481481481482,0.0,0.003
2020,Cd,36,0.0006944444444444445,0.001,0.003
2006,Pb,49,0.14513673469387756,0.0573,1.053
2007,Pb,52,0.18195115384615385,0.060450000000000004,1.9991
2008,Pb,52,0.05953846153846154,0.0375,0.283
2009,Pb,68,0.04533823529411765,0.031,0.218
2010,Pb,72,0.035041666666666665,0.028,0.104
2011,Pb,72,0.09434722222222222,0.0745,0.354
2012,Pb,71,0.14695774647887325,0.064,0.572
2013,Pb,60,0.07521666666666667,0.0365,0.501
2014,Pb,47,0.10248936170212766,0.064,0.617
2015,Pb,72,0.05372222222222222,0.051,0.228
2016,Pb,72,0.04509722222222222,0.0285,0.2
2017,Pb,72,0.03375925925925924,0.033,0.1666666666666666
2018,Pb,72,0.027916666666666663,0.018,0.121
2019,Pb,54,0.015981481481481482,0.01,0.093
2020,Pb,36,0.015166666666666669,0.013,0.042
2006,As,49,0.0038795918367346936,0.0,0.1644
2007,As,52,0.0070999999999999995,0.0,0.1796
2008,As,52,0.0016788461538461538,0.0,0.03
2009,As,68,0.0018661764705882355,0.0,0.014
2010,As,72,0.0014583333333333332,0.001,0.011
2011,As,72,0.006429166666666666,0.002,0.072
2012,As,71,0.0023056338028169016,0.001,0.017
2013,As,60,0.0010566666666666667,0.0,0.006
2014,As,47,0.0007872340425531915,0.0,0.012
2015,As,72,0.0005138888888888888,0.0,0.005
2016,As,72,0.0006111111111111111,0.0,0.01
2017,As,72,0.016125,0.0055,0.102
2018,As,72,0.00041666666666666664,0.0,0.009
2019,As,54,0.0,0.0,0.0
2020,As,36,0.0,0.0,0.0
2006,Cr,49,0.008022244897959184,0.001,0.1083
2007,Cr,52,0.04142884615384615,0.0006,0.6031
2008,Cr,52,0.008596153846153847,0.002,0.063
2009,Cr,68,0.020380882352941176,0.0025,0.24
2010,Cr,72,0.011875,0.006,0.055
2011,Cr,72,0.007011111111111111,0.003,0.058
2012,Cr,71,0.0051197183098591545,0.003,0.05
2013,Cr,60,0.001565,0.00015,0.009
2014,Cr,47,0.0018595744680851066,0.0,0.02
2015,Cr,72,0.0014513888888888888,0.0,0.016
2016,Cr,72,0.0059861111250000005,0.0055,0.035
2017,Cr,72,0.05549999999999999,0.01866666666666665,0.34
2018,Cr,72,0.0043055555555555555,0.004,0.012
2019,Cr,54,0.009148148148148148,0.008,0.022
2020,Cr,36,0.011722222222222222,0.012,0.025
2006,Cu,49,0.15113265308163265,0.0569,0.9684
2007,Cu,52,0.34342384615384614,0.1367,1.6601
2008,Cu,52,0.1533423076923077,0.119,0.519
2009,Cu,68,0.3103735294117647,0.311,0.701
2010,Cu,72,0.13658333334722222,0.08549999999999999,0.615
2011,Cu,72,0.21948611111111113,0.1575,0.786
2012,Cu,71,0.2376619718309859,0.127,0.611
2013,Cu,60,0.09613333333333333,0.0625,0.431
2014,Cu,47,0.19140425531914895,0.063,0.938
2015,Cu,72,0.06829166666666667,0.063,0.206
2016,Cu,72,0.07879166666666666,0.063,0.361
2017,Cu,72,0.043958333333333335,0.0135,0.288
2018,Cu,72,0.051791666666666666,0.04,0.6
2019,Cu,54,0.048999999999999995,0.036,0.16
2020,Cu,36,0.03125,0.0245,0.19
2006,Ni,49,1e-09,1e-09,1e-09
2007,Ni,52,1e-09,1e-09,1e-09
2008,Ni,52,1e-09,1e-09,1e-09
2009,Ni,68,1e-09,1e-09,1e-09
2010,Ni,72,1e-09,1e-09,1e-09
2011,Ni,72,1e-09,1e-09,1e-09
2012,Ni,71,1e-09,1e-09,1e-09
2013,Ni,60,1e-09,1e-09,1e-09
2014,Ni,47,1e-09,1e-09,1e-09
2015,Ni,72,1e-09,1e-09,1e-09
2016,Ni,72,1e-09,1e-09,1e-09
2017,Ni,72,0.00013425925925925834,0.0,0.004
2018,Ni,72,0.0008333333333333333,0.0,0.01
2019,Ni,54,0.0024444444444444444,0.0,0.02
2020,Ni,36,0.004194444444444444,0.0015,0.018
