feature,mean_abs_shap,rank
Cu,0.010470966973003903,1
Pb_lag1,0.006246043746582662,2
Cd,0.004415878632763278,3
doy_sin,0.0027159362594804935,4
wind_speed_max,0.0026875717336232166,5
temp_std,0.00259613837197148,6
Cr,0.0019239939641345653,7
wind_dir_mean,0.0019018133615387235,8
As,0.0018552429728623807,9
Pb_roll3_mean,0.0018529004855811222,10
temp_min,0.0011184612547347709,11
Pb_lag2,0.0008280806608609972,12
temp_mean,0.0007857313913157233,13
month_sin,0.0006967208404973174,14
wind_speed_mean,0.0006877167061197191,15
doy_cos,0.0006433246448909632,16
haze_share,0.0006411809797858011,17
temp_max,0.0004076134063516144,18
foggy_share,0.00030174526003187783,19
rainy_share,0.00026763636433032516,20
month_cos,0.00022681559479515906,21
post,0.0002248199427099997,22
snowy_share,0.00016474257352836215,23
dust_share,0.0,24
