feature,mean_abs_shap,rank
Cu,0.014111733206463778,1
Pb_lag1,0.006581044629824142,2
Cd,0.003948887759887092,3
Pb_roll3_mean,0.0023904942567641208,4
month_sin,0.0012620733371900312,5
As,0.0011808884425106956,6
wind_speed_max,0.0011056713058071042,7
temp_std,0.0009313106085599724,8
doy_sin,0.0008489587662116424,9
Cr,0.00078545048587191,10
temp_min,0.00046132640616717647,11
post,0.00045808693543849605,12
Pb_lag2,0.00039921482934775334,13
doy_cos,0.0003856344777015083,14
temp_mean,0.00034088818715877754,15
haze_share,0.00031209431542409923,16
month_cos,0.0002055662907824699,17
temp_max,0.0002051350554531833,18
wind_speed_mean,0.00016602158105753092,19
wind_dir_mean,0.00015389173136295408,20
snowy_share,8.649540235631796e-05,21
rainy_share,2.656076790668934e-05,22
foggy_share,0.0,23
dust_share,0.0,24
