feature,mean_abs_shap,rank
post,0.002678584694300111,1
Cr,0.002663760760751325,2
Pb_roll3_mean,0.002635370449023809,3
temp_std,0.002451267216576504,4
wind_dir_mean,0.0019570472440382522,5
As,0.0017535988393329036,6
month_sin,0.0017367307811298838,7
doy_cos,0.001517165216438377,8
month_cos,0.001367231662789455,9
doy_sin,0.001344600658704887,10
Cu,0.0011072296574545788,11
temp_mean,0.0009989293013243851,12
temp_min,0.0008069123254523866,13
wind_speed_max,0.0007454496347295003,14
temp_max,0.0006290139180360535,15
Pb_lag2,0.0006057987950968453,16
foggy_share,0.0006038830532775232,17
dust_share,0.0005996651297357844,18
wind_speed_mean,0.0005785129801059997,19
snowy_share,0.0005765919479739697,20
Pb_lag1,0.0005599017095771601,21
Cd,0.00041502938708457297,22
rainy_share,0.000301539667538408,23
haze_share,0.0002229258123181651,24
