feature,mean_abs_shap,rank
Cu,0.011312404271883762,1
temp_std,0.007575332721916882,2
As,0.004200125603535992,3
temp_min,0.004088959083648893,4
Pb_roll3_mean,0.0031097669798318774,5
doy_sin,0.0028612228234601886,6
Pb_lag2,0.002724786593972969,7
Cd,0.002593052237359839,8
doy_cos,0.0024300630448980767,9
wind_dir_mean,0.002315868882282972,10
wind_speed_max,0.0020675334878062657,11
Pb_lag1,0.0016748518063534304,12
month_sin,0.0016198457918095584,13
wind_speed_mean,0.001458652965599796,14
haze_share,0.0013783547931569917,15
rainy_share,0.0010569887875579306,16
dust_share,0.0010063656585351957,17
Cr,0.0008211037122653112,18
temp_max,0.0006477166025577448,19
month_cos,0.0006463355343752128,20
post,0.000561015568704328,21
snowy_share,0.0005110702049569201,22
temp_mean,0.0005005870617691339,23
foggy_share,0.00026974875331715566,24
