,post,month_sin,month_cos,doy_sin,doy_cos,Pb_lag1,Pb_lag2,Pb_roll3_mean,Cd,As,Cr,Cu
post,0.008768488225265292,0.00010511010844071355,0.0001185356329517068,0.00012271115403489545,0.00013492337529450975,0.0011000740088401462,0.0003354498126464496,0.0005934111811172709,0.0009184386645300611,0.00029131385109596196,0.00010793896831762173,0.0016983581593719873
month_sin,0.00010511010844071354,0.0006755109751444697,4.861963638548228e-05,4.2191767907671976e-05,5.055986891895931e-05,0.00025765484120082965,0.00012623613616387963,0.0002241927516135064,8.998666436591557e-05,4.902768350630018e-05,2.8135179733042398e-05,0.0001981594002661642
month_cos,0.00011853563295170677,4.861963638548228e-05,0.002151739981641509,5.426507802281095e-05,7.513751319224565e-05,0.00032640037395683926,0.00013662832853715342,0.00026532077342389474,0.0002295579292076753,5.3745214438374855e-05,6.324371662409868e-05,0.000684121657375918
doy_sin,0.00012271115403489553,4.2191767907671956e-05,5.426507802281097e-05,0.0011266275970244811,5.7479049169019804e-05,0.00033381094832405755,0.00010206900311027093,0.00021492543774820027,8.70015311798763e-05,5.1475287644451604e-05,3.6131168810619316e-05,0.00019640385524877555
doy_cos,0.0001349233752945098,5.05598689189593e-05,7.513751319224567e-05,5.7479049169019804e-05,0.0010815607568812897,0.00021824831403425074,9.536015099769424e-05,0.00014764922754647273,0.0001454112514163514,6.15721890459884e-05,4.249752591731396e-05,0.00040295681378617874
Pb_lag1,0.0011000740088401464,0.00025765484120082965,0.00032640037395683936,0.00033381094832405755,0.00021824831403425074,0.021589266109381045,0.0009613034964731611,0.0012577668863600268,0.0007242267080073411,0.0003689023532114992,0.00024504121674857865,0.003095986156822902
Pb_lag2,0.0003354498126464496,0.0001262361361638796,0.00013662832853715345,0.00010206900311027084,9.536015099769428e-05,0.0009613034964731614,0.005601270934491492,0.000342943196259207,0.0004971634219545372,0.00011778775209368335,3.8601371596909024e-05,0.0005069668287422931
Pb_roll3_mean,0.0005934111811172708,0.00022419275161350644,0.00026532077342389474,0.0002149254377482003,0.00014764922754647276,0.0012577668863600268,0.0003429431962592071,0.008680824353417662,0.0007448236290733839,0.00015870990495746667,7.139810918675524e-05,0.0017645666801170538
Cd,0.0009184386645300611,8.99866643659156e-05,0.0002295579292076752,8.700153117987635e-05,0.0001454112514163514,0.0007242267080073411,0.0004971634219545373,0.0007448236290733838,0.00832228191704752,0.00012693783295944662,7.600815008581332e-05,0.001092316769472761
As,0.00029131385109596196,4.9027683506300166e-05,5.374521443837487e-05,5.1475287644451577e-05,6.157218904598842e-05,0.00036890235321149917,0.00011778775209368335,0.00015870990495746662,0.00012693783295944665,0.002922504841585584,3.513249831579973e-05,0.0006868837694618054
Cr,0.0001079389683176217,2.8135179733042398e-05,6.32437166240987e-05,3.61311688106193e-05,4.2497525917313954e-05,0.0002450412167485786,3.860137159690901e-05,7.139810918675528e-05,7.600815008581332e-05,3.513249831579973e-05,0.0005570515669870514,0.0003560767510237213
Cu,0.0016983581593719866,0.00019815940026616423,0.0006841216573759179,0.00019640385524877552,0.0004029568137861787,0.003095986156822902,0.0005069668287422932,0.0017645666801170538,0.0010923167694727608,0.0006868837694618053,0.0003560767510237213,0.023240575444389854
