,post,month_sin,month_cos,doy_sin,doy_cos,Pb_lag1,Pb_lag2,Pb_roll3_mean,Cd,As,Cr,Cu,temp_mean,temp_min,temp_max,temp_std,wind_speed_mean,wind_speed_max,wind_dir_mean,rainy_share,snowy_share,foggy_share,dust_share,haze_share
post,0.000451979873075144,5.792346653982958e-05,2.778739746252399e-05,2.8605715942297774e-05,1.5053621271715147e-05,0.00014097042384744157,1.4407864439132694e-05,3.1162920199249174e-05,0.00030453645334575633,4.480228399138827e-06,5.7507155773489726e-05,5.954876488150855e-05,1.5311242792897132e-05,2.3646029849808735e-05,9.111762338394444e-06,5.015005240617667e-05,8.378932018826677e-06,7.506796747220278e-06,1.0096623306363113e-05,5.484707085966026e-06,2.3602033609132466e-06,0.0,0.0,2.993682743915204e-06
month_sin,5.792346653982958e-05,0.0014605187442656622,4.498270320954749e-05,3.559277748749822e-05,2.2298322670747915e-05,0.00028223719293114633,3.4763757945143354e-05,0.00019163604851986713,0.00012999832152127923,9.652641140165415e-06,4.0263741452357706e-05,0.0001278176918140649,6.51148150842603e-05,3.4539368295509794e-05,6.946487282851894e-05,0.00011347993315451488,1.1484276399742363e-05,2.3892875118180847e-05,1.8184932190639493e-05,3.935862887696076e-06,5.401031661861506e-06,0.0,0.0,1.1019726272893451e-05
month_cos,2.7787397462523983e-05,4.498270320954749e-05,0.00015998711238126046,1.282432469342751e-05,2.9420427269630605e-05,8.082548814676739e-05,8.304730141470427e-06,2.354137297095357e-05,0.0001128696169177731,7.6085053795179355e-06,2.31672057402271e-05,4.693362471385037e-05,1.797223947671048e-05,2.6046440115805082e-05,5.927051213637712e-06,1.8079065874199132e-05,3.257410205168589e-06,6.886056616056645e-06,9.715215518060827e-06,0.0,2.155852234558062e-06,0.0,0.0,1.1180110245225119e-05
doy_sin,2.8605715942297785e-05,3.559277748749822e-05,1.2824324693427513e-05,0.0009771442632159845,2.8796438394667146e-05,0.0002366446613989453,3.586766062954764e-05,0.00012982344635414233,3.878414496664079e-05,2.5683960828535223e-06,1.5471614669410614e-05,9.291259909627132e-05,1.7890363166557746e-05,4.9875730488370625e-05,1.8220102984710872e-05,4.05918935157457e-05,1.497998373198934e-05,5.6987895473934e-05,4.139981093634007e-06,2.9996250776057847e-06,2.7793355417892355e-06,0.0,0.0,6.837006641904302e-06
doy_cos,1.505362127171515e-05,2.229832267074791e-05,2.9420427269630605e-05,2.8796438394667136e-05,0.0003941809085469246,0.00014736622390105057,6.3850387369035595e-06,7.599046612765761e-05,7.592884649467441e-05,8.479281790765758e-06,1.171903135738686e-05,6.273216308678923e-05,1.3711633568624549e-05,1.6343888978606646e-05,3.422795439104709e-05,1.3621176156863026e-05,4.0252222296249935e-06,9.598096151419561e-06,1.0645988632352384e-05,8.135390554083523e-07,2.4270803863232255e-06,0.0,0.0,6.196500505279475e-06
Pb_lag1,0.00014097042384744166,0.00028223719293114633,8.08254881467674e-05,0.00023664466139894534,0.00014736622390105063,0.007200183224412902,6.967882473788329e-05,0.00037531156618384387,0.0003280576347998315,0.00012125810424067983,0.000164956291505274,0.0003048266890258507,7.168499855908554e-05,5.8642025727969924e-05,5.4085800522937945e-05,8.916930632315627e-05,6.313691853392882e-05,8.510114151519577e-05,8.625077411735442e-05,1.539254158201989e-05,3.708225027058505e-05,0.0,0.0,7.881068710498748e-05
Pb_lag2,1.44078644391327e-05,3.476375794514338e-05,8.304730141470427e-06,3.586766062954764e-05,6.385038736903559e-06,6.96788247378833e-05,0.00043037195212108475,2.9813832402186524e-05,4.6823502273012666e-05,4.700468142295843e-06,2.5277284552427664e-05,9.615315210985573e-05,1.9859962930353548e-05,1.582050164617049e-05,4.8742459297753154e-06,1.4520360794435608e-05,8.15512167627401e-06,1.370400908725892e-05,3.152565354421618e-06,7.928361483713325e-06,0.0,0.0,0.0,3.302271140770778e-06
Pb_roll3_mean,3.1162920199249174e-05,0.00019163604851986713,2.3541372970953577e-05,0.0001298234463541423,7.599046612765764e-05,0.000375311566183844,2.981383240218653e-05,0.0030767991319039976,0.00012406819532447067,3.0086940256793475e-05,6.235561910436594e-05,0.0003493227577589274,5.4290223511009075e-05,5.9838875761223786e-05,3.112720215248506e-05,4.012943265928673e-05,2.0624443962996274e-05,7.343977057894648e-05,2.9910000242530886e-05,7.770795699400672e-07,9.725847786567944e-06,0.0,0.0,4.919964336038721e-05
Cd,0.00030453645334575633,0.00012999832152127926,0.00011286961691777311,3.878414496664076e-05,7.59288464946744e-05,0.0003280576347998315,4.6823502273012666e-05,0.00012406819532447067,0.004414693822642681,6.203210252272618e-05,0.00021520404497763567,0.00015640903697597685,5.2315376012454534e-05,3.9303872396056206e-05,4.148379683970494e-05,4.0191566736383993e-05,2.6970635346744214e-05,0.00014941844519364926,2.0078735663777573e-05,1.523433289166825e-06,2.9154297980759153e-06,0.0,0.0,1.706615997786339e-05
As,4.480228399138819e-06,9.652641140165415e-06,7.60850537951794e-06,2.568396082853519e-06,8.479281790765755e-06,0.00012125810424067986,4.700468142295842e-06,3.008694025679348e-05,6.203210252272618e-05,0.0014195389992158309,7.85778276726725e-06,3.443591547883057e-05,3.470670406009448e-06,3.7296295974880607e-06,2.0126121292199273e-06,7.435111607887551e-06,2.2510325699761974e-06,0.00022300451254640994,1.3140022487193344e-06,1.3981951487549598e-07,1.0406452622971492e-06,0.0,0.0,3.204336277104641e-06
